web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505761-10900,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,DEPARTAMENTO EN RENTA SIERRAZUL QUERÉTARO,16000,1,"1
                                    
                                
                                Baño",73
1620505988-11474,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,RENTA DEPARTAMENTO AMUEBLADO DE JURIQUILLA SANTA FE 1 RECAMARA,22500,1,"2
                                    
                                
                                Baños",98
1620505681-10701,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,RENTA DE DEPARTAMENTO EN ARCO DE PIEDRA,20000,2,"2
                                    
                                
                                Baños",115
1620505988-11497,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Departamento a estrenar en Fray Junipero Serra sin amueblar! RAHQRO,22000,2,"3
                                    
                                
                                Baños",130
1620506023-11599,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,RENTA DE DEPARTAMENTO AMUEBLADO Y EQUIPADO EN JURIQUILLA TOWERS,27000,2,"2
                                    
                                
                                Baños",92
1620505836-11074,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,Departamento en Renta en Milenio 3a. Sección,13800,2,"2
                                    
                                
                                Baños",90
1620506014-11580,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,DEPARTAMENTO EN RENTA EN ALTOS JURIQUILLA QUERETARO,17000,2,"2
                                    
                                
                                Baños",80
1620506014-11579,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,Departamento - Juriquilla,20000,3,"2
                                    
                                
                                Baños",145
1620505817-11039,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,Departamento AMUEBLADO en RENTA con vista panorámica en Querétaro Zona El Campanario,20000,2,"2
                                    
                                
                                Baños",95
1620506023-11606,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,"Departamento en renta junto a la UVM, en Atelier Juriquilla",12900,3,"2
                                    
                                
                                Baños",100
1620505660-10665,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,"DEPARTAMENTO EN RENTA EN KOLORIA, UNA RECAMARA, 1 BAÑO COMPLETO, ALBERCA",13500,1,"1
                                    
                                
                                Baño",60
1620505969-11415,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,Departamento en dúplex en Altos de Juriquilla de 156 mts2! RAHQRO,14500,2,"3
                                    
                                
                                Baños",156
1620505891-11206,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,"Zona premium del Refugio, departamento de 207 mts2 sin amueblar! RAHQRO",14000,1,"2
                                    
                                
                                Baños",207
1620505979-11442,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento en Renta - Juriquilla - Queretaro,18000,3,"3
                                    
                                
                                Baños",154
1620505780-10948,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Villas del Sol departamento lujoso en segundo piso de 1 recamara!,13000,1,"1
                                    
                                
                                Baño",55
1620505891-11197,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,Monte Miranda exclusivo departamento de 3 recamaras y 117 mts2!,22000,3,"3
                                    
                                
                                Baños",117
1620505761-10885,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,"departamento en renta amueblado TEIDE Campanario, Queretaro",29000,3,"4
                                    
                                
                                Baños",200
1620505346-10487,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,Departamento en renta en Juriquilla 21537 JL,23501,3,"3
                                    
                                
                                Baños",184
1620505761-10877,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,DEPARTAMENTO NUEVO SIN AMUEBLAR EN CITY VIEW CON EXCELENTE VISTA A LA CIUDAD,18000,2,"2
                                    
                                
                                Baños",118
1620505960-11378,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,"Renta de Departamento, Juriquilla, Querétaro",12700,2,"2
                                    
                                
                                Baños",86
1620505613-10543,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,Espectacular Departamento de  Recámaras y 2  Baños en Centro Sur Ofp 19-601,15000,2,"2
                                    
                                
                                Baños",85
1620505725-10802,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Renta Departamento Amueblado en Adamant Queretaro.,20000,2,"2
                                    
                                
                                Baños",74
1620505979-11460,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,JURIQUILLA DEPA AMUEBLADO DE 1 RECAMARA EN EDIFICIO CON ALBERCA CANCHAS GYM SPA,18500,1,"2
                                    
                                
                                Baños",98
1620505780-10953,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Departamento de Lujo en Renta en Constituyentes SRM 21 - 2563,13000,1,"1
                                    
                                
                                Baño",55
1620505942-11340,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,DEPARTAMENTO EN JURIQUILLA TOWERS,28000,2,"2
                                    
                                
                                Baños",128
1620505988-11478,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Departamento - Juriquilla,26000,2,"2
                                    
                                
                                Baños",145
1620505969-11428,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,Departamento Penthouse en Juriquilla de 2 Niveles y 3 Recámaras con baño,20000,3,"4
                                    
                                
                                Baños",218
1620505681-10696,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,RENTA DE DEPARTAMENTO EN ARCO DE PIEDRA,20500,2,"2
                                    
                                
                                Baños",115
1620505979-11453,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento - Juriquilla,18000,4,"2
                                    
                                
                                Baños",113
1620505872-11154,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,RENTO DEPA EN EL REFUGIO QUERÉTARO,15000,3,"3
                                    
                                
                                Baños",129
1620505681-10691,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,"Departamento en Renta en Aira, Jurica",21003,3,"2
                                    
                                
                                Baños",157
1620505872-11156,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,Departamento Nuevo en Renta Amueblado de 3 Recamaras,24000,3,"4
                                    
                                
                                Baños",243
1620505891-11204,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,SE RENTA DEPARTAMENTO EN ALTERRA TOWERS,12500,2,"2
                                    
                                
                                Baños",92
1620506014-11582,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,"Departamento en 5o piso en Juriquilla con 2 recámaras, 2.5 baños y amenidades",19000,2,"3
                                    
                                
                                Baños",130
1620505704-10754,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/departamento/for-rent/,RENTA DEPARTAMENTO EN PLANTA BAJA,10700,2,"2
                                    
                                
                                Baños",130
1620505761-10902,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,RENTA DEPARTAMENTO EN LA CIMA TOWERS CON MAGNIFICA VISTA TODAS LAS AMENIDADES,15000,3,"2
                                    
                                
                                Baños",96
1620505942-11344,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,Departamento en la loma,19000,2,"2
                                    
                                
                                Baños",85
1620505960-11388,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,LOFT EN RENTA NAUTICO JURIQUILLA AMUEBLADO,14000,1,"1
                                    
                                
                                Baño",55
1620505780-10938,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,DEPARTAMENTO EN RENTA EN QUERETARO / CENTRAL PARK,15500,1,"1
                                    
                                
                                Baño",80
1620505907-11254,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,"Amplio departamento en renta, El Refugio OFP 19-2196",18000,3,"3
                                    
                                
                                Baños",190
1620505997-11504,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,"DEPARTAMENTO EN RENTA AMUEBLADO, 2 RECAMARAS, 2 BAÑOS COMPLETOS.",22000,2,"2
                                    
                                
                                Baños",150
1620505780-10929,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Depa en renta en Residencial del parque,12500,2,"2
                                    
                                
                                Baños",85
1620506030-11630,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,"DEPARTAMENTO AMUEBLADO EN RENTA EN WISE LIVING JURIQUILLA, QRO. GPS INMOBILIARIA",24000,1,"1
                                    
                                
                                Baño",114
1620505979-11466,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,RENTA DE DEPARTAMENTO AMUEBLADO Y EQUIPADO EN JURIQUILLA TOWERS.,26000,2,"2
                                    
                                
                                Baños",120
1620505741-10829,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,CAMPANARIO 2 REC.  ESPECTACULAR VISTA,24000,2,"2
                                    
                                
                                Baños",125
1620505761-10878,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,"Departamento en renta en la Reserva el Campanario, c. 170 m2",25000,3,"2
                                    
                                
                                Baños",170
1620505942-11325,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,Renta de departamento 3 recamaras con amenidades,19500,3,"3
                                    
                                
                                Baños",153
1620505969-11425,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,"Precioso Departamento en Renta en La Loma, 2 Recamaras, 2 Baños, Campo Deportivo",15000,2,"2
                                    
                                
                                Baños",90
1620505979-11451,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento - Juriquilla,22500,2,"2
                                    
                                
                                Baños",135
1620505613-10558,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,DEPARTAMENTO AMUEBLADO EN RENTA EN EDIF MOTTO,18000,2,"2
                                    
                                
                                Baños",82
1620506030-11626,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,RENTA DEPARTAMENTO EN ALTARA JURIQUILLA,12000,2,"2
                                    
                                
                                Baños",106
1620505979-11458,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento - Juriquilla,22000,2,"2
                                    
                                
                                Baños",135
1620505836-11071,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,RENTA DEPARTAMENTO MILENIO AMUEBLADO LUJO,19000,2,"2
                                    
                                
                                Baños",120
